character;dialoge;class;pos_value;neg_value
HAN;I can't see.;neu;0.5369230769230768;0.46307692307692316
HAN;Where am I?;neu;0.5091201716738196;0.4908798283261804
HAN;Who are you?;neu;0.4996006769771206;0.5003993230228794
HAN;Read!;neu;0.46604938271604957;0.5339506172839504
HAN;What is that? I know that laugh.;neu;0.3776693350337051;0.622330664966295
HAN;"Hey, Jabba. Look, Jabba, I was going to pay you back, but I strayed a little. It's not my fault.";neu;0.7120787650711644;0.2879212349288356
HAN;Look...;neu;0.47054009819967263;0.5294599018003274
HAN;Jabba... I'll pay you triple! You're throwing away a fortune here. Don't be silly!;neu;0.7166681845615022;0.28333181543849784
HAN;"Chewie? Chewie, is that you?";neu;0.4934707534593676;0.5065292465406324
HAN;Ah! Chew--Chewie!;neu;0.6818181818181814;0.31818181818181857
HAN;"Wait. I can't see it, friend. What's going on?";neu;0.4044219156149742;0.5955780843850258
HAN;"Luke? Luke is crazy. He can't even take care of himself, let alone rescue someone.";neu;0.3375058749539467;0.6624941250460533
HAN;"Um...Jedi Knight? I - I'm out of it for a while, everyone has delusions of grandeur.";pos;0.9040554363534494;0.09594456364655057
HAN;"I'm fine, friend. I'm fine.";neu;0.5990383986393669;0.4009616013606331
HAN;Luke!;neu;0.5322580645161291;0.4677419354838709
HAN;"Alright. Together again, huh?";neg;0.16543522648709075;0.8345647735129093
HAN;How are we doing?;neu;0.46372862746843196;0.536271372531568
HAN;"So bad, huh? Where's Leia?";neu;0.25812294801461383;0.7418770519853861
HAN;"Well, I hate long waits.";neu;0.6025321588255056;0.3974678411744944
HAN;It doesn't look too bad.;neu;0.3347406455645012;0.6652593544354988
HAN;"On second thought, let's pass it on, huh?";neg;0.13226130083566923;0.8677386991643308
HAN;"I think my eyes are getting better. Instead of a big dark blur, I see a big blur of light.";pos;0.7783205682899691;0.2216794317100309
HAN;"You're going to die here, you know. Convenient.";neu;0.26140209026119005;0.73859790973881
HAN;Ah...great!;neu;0.589541547277937;0.41045845272206305
HAN;" ""Threepio, tell that slimy piece of... worm-ridden filth that he won't get as much pleasure from us. Right?""";neu;0.2550590759507112;0.7449409240492888
HAN;"Chewie, are you okay? Where is he?";neu;0.47467643288552697;0.525323567114473
HAN;"I'm fine, friend.";neu;0.5990383986393669;0.4009616013606331
HAN; Lando !;pos;0.75;0.25
HAN;Boba Fett?! Boba Fett?! Where?;neu;0.5091201716738196;0.4908798283261804
HAN;" Lando, take it!";pos;0.7673661360347324;0.23263386396526764
HAN;I'm trying!;neu;0.45588235294117646;0.5441176470588236
HAN;"Hey! Hey! Grab me, Chewie! I'm slipping.";neg;0.1502860989565802;0.8497139010434198
HAN;Grab it! L-- Lando . Grab it!;neu;0.6785714285714278;0.3214285714285722
HAN;Grab it! Almost... You almost made it!;neu;0.42554910874311624;0.5744508912568838
HAN;"Gently now. All... all right. Easy, easy now. Hold me, Chewie.";pos;0.835729848313157;0.164270151686843
HAN;"Chewie! Chewie, give me the gun. Don't move, Lando.";neu;0.6376836704096365;0.36231632959036353
HAN;It's okay. Trust me. Don't move.;neu;0.38110122921563355;0.6188987707843665
HAN;"Chewie, pull us up! Let's go! Okay... up, Chewie, up!";neu;0.3510873994091885;0.6489126005908115
HAN;I don't know. All I can see is a bunch of blown sand!;neg;0.19587479194884785;0.8041252080511522
HAN;Then I think I'm getting better.;neu;0.3819824935244311;0.6180175064755689
HAN;"I have to admit, kid, you were really good out there.";neu;0.4429814915132261;0.5570185084867739
HAN;"No, I've been thinking about it a lot. That carbon freeze was the closest thing to death there is. And it wasn't just sleeping. It was a big waking nothing!";neg;0.06357156300393285;0.9364284369960671
HAN;Why don't you leave that crate and come with us?;neu;0.7257343353591492;0.2742656646408508
HAN;"I guess I owe you some thanks too, Lando.";neu;0.58959628340543;0.41040371659457
HAN;"Hey Luke, thanks. Thanks for coming after me. Now I owe you one.";neu;0.4252544519431105;0.5747455480568895
HAN;"Well, look at you, a general, huh?";neu;0.286879395223982;0.713120604776018
HAN;Well don't look at me buddy. I just said you were a good pilot. I didn't know they were looking for someone to lead this crazy attack.;neg;0.14244088390681162;0.8575591160931884
HAN;"Well, who said no. But I'm not crazy. You're the respectable one, remember?";neu;0.5256928894132028;0.4743071105867972
HAN;Good luck.;neu;0.4117811787691304;0.5882188212308697
HAN;You will need it.;neu;0.4887946729001727;0.5112053270998274
HAN;"Uh, my team is ready. I don't have a command crew for the shuttle.";neg;0.16906095859117465;0.8309390414088254
HAN;"Well, it's going to be hard, buddy. I didn't want to speak for you.";neu;0.3873367686460789;0.6126632313539211
HAN;It's one.;neu;0.5061902082160945;0.4938097917839055
